sample_date,measurement_date,plot,subplot,depth_top,depth_bottom,Depth,texture,Tin Name ,Wet Weight (g),Dry Weight (g),Tin Weight (g),Wet-Tin wt (g),Dry-Tin wt (g),% soil moisture,eC_(uS/cm),notes
2026-01-16,2026-01-21,West Plot ,1,0,15,0-15,,"WP-1, 0-15",93.35,77.648,6.451,86.899,71.197,18.07,360,"Calibration solution looks like it is expired, may have affected calibration of EC probe..."
2026-01-16,2026-01-21,West Plot ,1,15,30,15-30,,"WP-1, 15-30",74.06,60.399,6.419,67.641,53.98,20.196,409,
2026-01-16,2026-01-21,West Plot ,1,30,45,30-45,,"WP-1, 30-45",77.933,66.867,6.419,71.514,60.448,18.307,284,
2026-01-16,2026-01-21,West Plot ,1,45,60,45-60,,"WP-1, 45-60",82.418,70.055,6.414,76.004,63.641,16.266,674,
2026-01-16,2026-01-21,West Plot ,1,60,75,60-75,,"WP-1, 60-75",90.829,79.18,6.432,84.397,72.748,13.803,1623,
2026-01-16,2026-01-21,West Plot ,1,75,90,75-90,,"WP-1, 75-90",93.423,81.904,6.446,86.977,75.458,13.244,2590,
2026-01-28,2026-02-03,West Plot ,2,0,15,0-15,,"WP-2, 0-15",75.62,63.555,6.424,69.196,57.131,21.118,427,
2026-01-28,2026-02-03,West Plot ,2,15,30,15-30,,"WP-2, 15-30",79.002,66.165,6.46,72.542,59.705,21.501,484,Primary calibration level for W P2-4 was 1473uS/cm and 1413uS/cm calibration solution was used
2026-01-28,2026-02-03,West Plot ,2,30,45,30-45,,"WP-2, 30-45",70.184,60.747,6.443,63.741,54.304,17.378,1457,
2026-01-28,2026-02-03,West Plot ,2,45,60,45-60,,"WP-2, 45-60",59.427,52.018,6.412,53.015,45.606,16.246,2950,
2026-01-28,2026-02-03,West Plot ,2,60,75,60-75,,"WP-2, 60-75",80.214,65.784,6.482,73.732,59.302,24.333,3260,
2026-01-28,2026-02-03,West Plot ,2,75,90,75-90,,"WP-2, 75-90",58.164,49.443,6.352,51.812,43.091,20.239,2680,
2026-01-28,2026-02-03,West Plot ,3,0,15,0-15,,"WP-3, 0-15",59.367,50.119,6.4,52.967,43.719,21.153,267,
2026-01-28,2026-02-03,West Plot ,3,15,30,15-30,,"WP-3, 15-30",67.062,56.593,6.501,60.561,50.092,20.9,251,
2026-01-28,2026-02-03,West Plot ,3,30,45,30-45,,"WP-3, 30-45",69.958,59.505,6.432,63.526,53.073,16.696,409,
2026-01-28,2026-02-03,West Plot ,3,45,60,45-60,,"WP-3, 45-60",74.565,64.209,6.459,68.106,57.75,17.932,452,
2026-01-28,2026-02-03,West Plot ,3,60,75,60-75,,"WP-3, 60-75",59.091,51.072,6.497,52.594,44.575,17.2,1634,
2026-01-28,2026-02-03,West Plot ,3,75,90,75-90,,"WP-3, 75-90",63.489,55.15,6.371,57.118,48.779,17.055,2230,
2026-01-28,2026-02-03,West Plot ,4,0,15,0-15,,"WP-4, 0-15",54.381,46.37,6.362,48.019,40.008,20.023,275,"Primary Calibration for WP-4, 0-15 and WP subplots 5 and 6 was 1467 uS/cm and 1413uS/cm calibration solution was used"
2026-01-28,2026-02-03,West Plot ,4,15,30,15-30,,"WP-4, 15-30",56.097,47.014,6.506,49.591,40.508,22.423,223,
2026-01-28,2026-02-03,West Plot ,4,30,45,30-45,,"WP-4, 30-45",59.21,51.205,6.33,52.88,44.875,17.838,253,
2026-01-28,2026-02-03,West Plot ,4,45,60,45-60,,"WP-4, 45-60",45.686,40.937,6.393,39.293,34.544,13.748,550,
2026-02-06,2026-02-08,West Plot ,5,0,15,0-15,,"WP-5, 0-15",35.811,32.187,6.474,29.337,25.713,12.353,204,
2026-02-06,2026-02-08,West Plot ,5,15,30,15-30,,"WP-5, 15-30",45.765,40.472,6.382,39.383,34.09,13.44,250,
2026-02-06,2026-02-08,West Plot ,5,30,45,30-45,,"WP-5, 30-45",69.662,58.794,6.414,63.248,52.38,17.183,603,
2026-02-06,2026-02-08,West Plot ,5,45,60,45-60,,"WP-5, 45-60",48.886,42.53,6.426,42.46,36.104,17.605,1794,
2026-02-06,2026-02-08,West Plot ,5,60,75,60-75,,"WP-5, 60-75",60.075,51.203,6.418,53.657,44.785,16.535,1762,
2026-02-06,2026-02-08,West Plot ,5,75,90,75-90,,"WP-5, 75-90",63.054,52.855,6.476,56.578,46.379,18.026,1790,
2026-02-06,2026-02-08,West Plot ,6,0,15,0-15,,"WP-6, 0-15",50.176,45.645,6.432,43.744,39.213,10.358,155.7,
2026-02-06,2026-02-08,West Plot ,6,15,30,15-30,,"WP-6, 15-30",60.527,54.581,6.335,54.192,48.246,10.972,129.4,
2026-02-06,2026-02-08,West Plot ,6,30,45,30-45,,"WP-6, 30-45",79.101,67.581,6.431,72.67,61.15,15.852,194.2,
2026-02-06,2026-02-08,West Plot ,6,45,60,45-60,,"WP-6, 45-60",60.617,52.111,6.386,54.231,45.725,18.603,135.2,
2026-02-06,2026-02-08,West Plot ,6,60,75,60-75,,"WP-6, 60-75",50.115,43.385,6.387,43.728,36.998,18.19,269,
2026-02-06,2026-02-08,West Plot ,6,75,90,75-90,,"WP-6, 75-90",62.209,52.662,6.394,55.815,46.268,20.634,357,
